date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,ＳＢＩインシュアランスグループ,7326,,,,73260
,ブロードマインド,7343,,,,73430
,アイ・パートナーズフィナンシャ,7345,,,,73450
,マーキュリアＨＬＤＧ,7347,,,,73470
,グッドパッチ,7351,,,,73510
,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,7352,,,,73520
,ＫＩＹＯラーニング,7353,,,,73530
,ＲＥＴＴＹ,7356,,,,73560
,ジオコード,7357,,,,73570
,東京通信グループ,7359,,,,73590
,オンデック,7360,,,,73600
,ヒューマンクリエイションＨＬＤ,7361,,,,73610
,Ｔ．Ｓ．Ｉ,7362,,,,73620
,ベビーカレンダー,7363,,,,73630
,セルム,7367,,,,73670
,表示灯,7368,,,,73680
,メイホーＨＬＤＧ,7369,,,,73690
,Ｅｎｊｉｎ,7370,,,,73700
,Ｚｅｎｋｅｎ,7371,,,,73710
,デコルテＨＬＤＧ,7372,,,,73720
,アイドマＨＬＤＧ,7373,,,,73730
,コンフィデンス・インターワーク,7374,,,,73740
,リファインバースグループ,7375,,,,73750
,ＢＣＣ,7376,,,,73760
,ＤＮ　ＨＬＤＧ,7377,,,,73770
,アシロ,7378,,,,73780
,サーキュレーション,7379,,,,73790
,ナンシン,7399,,,,73990
,ＡｅｒｏＥｄｇｅ,7409,,,,74090
,アトム,7412,,,,74120
,創健社,7413,,,,74130
,はるやまＨＬＤＧ,7416,,,,74160
,南陽,7417,,,,74170
,東邦レマック,7422,,,,74220
,初穂商事,7425,,,,74250
,山大,7426,,,,74260
,エコートレーディング,7427,,,,74270
,オータケ,7434,,,,74340
,ナ・デックス,7435,,,,74350
,中山福,7442,,,,74420
,横浜魚類,7443,,,,74430
,ハリマ共和物産,7444,,,,74440
,ライトオン,7445,,,,74450
,東北化学薬品,7446,,,,74460
,サンデー,7450,,,,74500
,パリミキＨＬＤＧ,7455,,,,74550
,ヤギ,7460,,,,74600
,キムラ,7461,,,,74610
,ＣＡＰＩＴＡ,7462,,,,74620
,セフテック,7464,,,,74640
,鳥羽洋行,7472,,,,74720
,ムラキ,7477,,,,74770
,尾家産業,7481,,,,74810
,サンリン,7486,,,,74860
,小津産業,7487,,,,74870
,日新商事,7490,,,,74900
,コナカ,7494,,,,74940
,西川計測,7500,,,,75000
,ティムコ,7501,,,,75010
,プラザＨＬＤＧ,7502,,,,75020
,扶桑電通,7505,,,,75050
,ハウス　オブ　ローゼ,7506,,,,75060
,アイエーグループ,7509,,,,75090
,ヒマラヤ,7514,,,,75140
,マルヨシセンター,7515,,,,75150
,ムサシ,7521,,,,75210
,アールビバン,7523,,,,75230
,マルシェ,7524,,,,75240
,清和中央ＨＬＤＧ,7531,,,,75310
,大水,7538,,,,75380
,アイナボＨＬＤＧ,7539,,,,75390
,スリーエフ,7544,,,,75440
,ウェッズ,7551,,,,75510
,大田花き,7555,,,,75550
,ハークスレイ,7561,,,,75610
,安楽亭,7562,,,,75620
,ワークマン,7564,,,,75640
,萬世電機,7565,,,,75650
,栄電子,7567,,,,75670
,ヤマノＨＬＤＧ,7571,,,,75710
,ニチリョク,7578,,,,75780
,かんなん丸,7585,,,,75850
,ポプラ,7601,,,,76010
,レダックス,7602,,,,76020
,マックハウス,7603,,,,76030
,梅の花グループ,7604,,,,76040
,エスケイジャパン,7608,,,,76080
,テイツー,7610,,,,76100
,オーエムツーネットワーク,7614,,,,76140
,京都きもの友禅ＨＬＤＧ,7615,,,,76150
,田中商事,7619,,,,76190
,うかい,7621,,,,76210
,ＮａＩＴＯ,7624,,,,76240
,グローバルダイニング,7625,,,,76250
,星医療酸器,7634,,,,76340
,杉田エース,7635,,,,76350
,ハンズマン,7636,,,,76360
,ＮＥＷ　ＡＲＴ　ＨＬＤＧ,7638,,,,76380
,トップカルチャー,7640,,,,76400
,ダイイチ,7643,,,,76430
,ＰＬＡＮＴ,7646,,,,76460
,オーウエル,7670,,,,76700
,ダイコー通産,7673,,,,76730
,ＮＡＴＴＹ　ＳＷＡＮＫＹＨＬＤ,7674,,,,76740
,ヤシマキザイ,7677,,,,76770
,あさくま,7678,,,,76780
,レオクラン,7681,,,,76810
,浜木綿,7682,,,,76820
,ＢｕｙＳｅｌｌ　Ｔｅｃｈ,7685,,,,76850
,ひとまいる,7686,,,,76860
,ミクリード,7687,,,,76870
,コパ・コーポレーション,7689,,,,76890
,アースインフィニティ,7692,,,,76920
,いつも,7694,,,,76940
,交換できるくん,7695,,,,76950
,アイスコ,7698,,,,76980
,オムニ・プラス・システム,7699,,,,76990
,プレシジョン・システム・サイエ,7707,,,,77070
,クボテック,7709,,,,77090
,助川電気工業,7711,,,,77110
,シグマ光機,7713,,,,77130
,ナカニシ,7716,,,,77160
,東京衡機,7719,,,,77190
,国際計測器,7722,,,,77220
,黒田精工,7726,,,,77260
,オーバル,7727,,,,77270
,シード,7743,,,,77430
,岡本硝子,7746,,,,77460
,メディキット,7749,,,,77490
,ＩＭＶ,7760,,,,77600
,リズム,7769,,,,77690
,日本精密,7771,,,,77710
,ジャパン・ティッシュエンジニア,7774,,,,77740
,大研医器,7775,,,,77750
,セルシード,7776,,,,77760
,スリー・ディー・マトリックス,7777,,,,77770
,ＣＹＢＥＲＤＹＮＥ,7779,,,,77790
,平山ＨＬＤＧ,7781,,,,77810
,シンシア,7782,,,,77820
,ドリームベッド,7791,,,,77910
,コラントッテ,7792,,,,77920
,イメージ・マジック,7793,,,,77930
,イーディーピー,7794,,,,77940
,ＫＹＯＲＩＴＳＵ,7795,,,,77950
,アミファ,7800,,,,78000
,ブシロード,7803,,,,78030
,ビーアンドピー,7804,,,,78040
,プリントネット,7805,,,,78050
,ＭＴＧ,7806,,,,78060
,幸和製作所,7807,,,,78070
,シー・エス・ランバー,7808,,,,78080
,壽屋,7809,,,,78090
,クロスフォー,7810,,,,78100
,中本パックス,7811,,,,78110
,クレステック,7812,,,,78120
,プラッツ,7813,,,,78130
,日本創発グループ,7814,,,,78140
,東京ボード工業,7815,,,,78150
,粧美堂,7819,,,,78190
,永大産業,7822,,,,78220
,オービス,7827,,,,78270
,ウイルコＨＬＤＧ,7831,,,,78310
,アイフィスジャパン,7833,,,,78330
,アビックス,7836,,,,78360
,アールシーコア,7837,,,,78370
,遠藤製作所,7841,,,,78410
,グラファイトデザイン,7847,,,,78470
,スターツ出版,7849,,,,78490
,総合商研,7850,,,,78500
,カワセコンピュータサプライ,7851,,,,78510
,セキ,7857,,,,78570
,アルメディオ,7859,,,,78590
,平賀,7863,,,,78630
,ピープル,7865,,,,78650
,フクビ化学工業,7871,,,,78710
,エステールＨＬＤＧ,7872,,,,78720
,竹田ｉＰＨＬＤＧ,7875,,,,78750
,永大化工,7877,,,,78770
,光・彩,7878,,,,78780
,ノダ,7879,,,,78790
,サンメッセ,7883,,,,78830
,タカノ,7885,,,,78850
,ヤマト　モビリティ　＆　Ｍｆｇ,7886,,,,78860
,南海プライウッド,7887,,,,78870
,セブン工業,7896,,,,78960
,ホクシン,7897,,,,78970
,ウッドワン,7898,,,,78980
,マツモト,7901,,,,79010
,ソノコム,7902,,,,79020
,ヨネックス,7906,,,,79060
,きもと,7908,,,,79080
,光村印刷,7916,,,,79160
,ヴィアＨＬＤＧ,7918,,,,79180
,野崎印刷紙業,7919,,,,79190
,三光産業,7922,,,,79220
,トーイン,7923,,,,79230
,ムトー精工,7927,,,,79270
,旭化学工業,7928,,,,79280
,ニッピ,7932,,,,79320
,リーガルコーポレーション,7938,,,,79380
,研創,7939,,,,79390
,ウェーブロックＨＬＤＧ,7940,,,,79400
,光陽社,7946,,,,79460
,菊水化学工業,7953,,,,79530
,フジコピアン,7957,,,,79570
,興研,7963,,,,79630
,東リ,7971,,,,79710
,リヒトラブ,7975,,,,79750
,重松製作所,7980,,,,79800
,ミロク,7983,,,,79830
,ネポン,7985,,,,79850
,日本アイ・エス・ケイ,7986,,,,79860
,マミヤ・オーピー,7991,,,,79910
,セーラー万年筆,7992,,,,79920
,くろがね工作所,7997,,,,79970
,ＭＵＴＯＨ　ＨＬＤＧ,7999,,,,79990
,ユアサ・フナショク,8006,,,,80060
,高島,8007,,,,80070
,ナイガイ,8013,,,,80130
,ＤＡＩＫＯ　ＸＴＥＣＨ,8023,,,,80230
,ツカモトコーポレーション,8025,,,,80250
,中央魚類,8030,,,,80300
,築地魚市場,8039,,,,80390
,東京ソワール,8040,,,,80400
,ＯＵＧ　ＨＬＤＧ,8041,,,,80410
,横浜丸魚,8045,,,,80450
,丸藤シートパイル,8046,,,,80460
,三谷商事,8066,,,,80660
,カノークス,8076,,,,80760
,トルク,8077,,,,80770
,ナラサキ産業,8085,,,,80850
,ナイス,8089,,,,80890
,ニチモウ,8091,,,,80910
,クワザワＨＬＤＧ,8104,,,,81040
,堀田丸正,8105,,,,81050
,キムラタン,8107,,,,81070
,ムーンバット,8115,,,,81150
,中央自動車工業,8117,,,,81170
,キング,8118,,,,81180
,三栄コーポレーション,8119,,,,81190
,川辺,8123,,,,81230
,ヤマトインターナショナル,8127,,,,81270
,ゼット,8135,,,,81350
,三京化成,8138,,,,81380
,ナガホリ,8139,,,,81390
,ラピーヌ,8143,,,,81430
,デンキョーグループＨＬＤＧ,8144,,,,81440
,トミタ,8147,,,,81470
,ソマール,8152,,,,81520
,タカキュー,8166,,,,81660
,東天紅,8181,,,,81810
,マックスバリュ東海,8198,,,,81980
,ラオックスＨＬＤＧ,8202,,,,82020
,テンアライド,8207,,,,82070
,エンチョー,8208,,,,82080
,フレンドリー,8209,,,,82090
,タカチホ,8225,,,,82250
,理経,8226,,,,82260
,はせがわ,8230,,,,82300
,大和,8247,,,,82470
,さいか屋,8254,,,,82540
,井筒屋,8260,,,,82600
,Ｏｌｙｍｐｉｃグループ,8289,,,,82890
,日産東京販売ＨＬＤＧ,8291,,,,82910
,東北銀行,8349,,,,83490
,富山銀行,8365,,,,83650
,鳥取銀行,8383,,,,83830
,高知銀行,8416,,,,84160
,Ｊトラスト,8508,,,,85080
,日本アジア投資,8518,,,,85180
,大光銀行,8537,,,,85370
,トマト銀行,8542,,,,85420
,福島銀行,8562,,,,85620
,大東銀行,8563,,,,85630
,九州リースサービス,8596,,,,85960
,光世証券,8617,,,,86170
,ＨＳＨＬＤＧ,8699,,,,86990
,丸八証券,8700,,,,87000
,トレイダーズＨＬＤＧ,8704,,,,87040
,日産証券グループ,8705,,,,87050
,あかつき本社,8737,,,,87370
,小林洋行,8742,,,,87420
,ｕｎｂａｎｋｅｄ,8746,,,,87460
,豊トラスティ証券,8747,,,,87470
,アドバンテッジリスクマネジメン,8769,,,,87690
,アサックス,8772,,,,87720
,ＧＦＡ,8783,,,,87830
,フィンテック　グローバル,8789,,,,87890
,太平洋興発,8835,,,,88350
,ＲＩＳＥ,8836,,,,88360
,コスモスイニシア,8844,,,,88440
,シーラＨＬＤＧ,8887,,,,88870
,ＡＭＧＨＬＤＧ,8891,,,,88910
,ＲＥＶＯＬＵＴＩＯＮ,8894,,,,88940
,センチュリー２１・ジャパン,8898,,,,88980
,ＡＶＡＮＴＩＡ,8904,,,,89040
,毎日コムネット,8908,,,,89080
,エリアクエスト,8912,,,,89120
,エリアリンク,8914,,,,89140
,ファースト住建,8917,,,,89170
,明豊エンタープライズ,8927,,,,89270
,穴吹興産,8928,,,,89280
,青山財産ネットワークス,8929,,,,89290
,和田興産,8931,,,,89310
,グロームＨＬＤＧ,8938,,,,89380
,インテリックス,8940,,,,89400
,ランドビジネス,8944,,,,89440
,サンネクスタグループ,8945,,,,89450
,ＡＳＩＡＮ　ＳＴＡＲ,8946,,,,89460
,誠建設工業,8995,,,,89950
,ハウスフリーダム,8996,,,,89960
,秩父鉄道,9012,,,,90120
,新潟交通,9017,,,,90170
,ゼロ,9028,,,,90280
,ヒガシＨＬＤＧ,9029,,,,90290
,広島電鉄,9033,,,,90330
,南総通運,9034,,,,90340
,東部ネットワーク,9036,,,,90360
,京福電気鉄道,9049,,,,90490
,センコン物流,9051,,,,90510
,遠州トラック,9057,,,,90570
,カンダＨＬＤＧ,9059,,,,90590
,日本ロジテム,9060,,,,90600
,岡山県貨物運送,9063,,,,90630
,丸運,9067,,,,90670
,京極運輸商事,9073,,,,90730
,日本石油輸送,9074,,,,90740
,大和自動車交通,9082,,,,90820
,神姫バス,9083,,,,90830
,タカセ,9087,,,,90870
,明海グループ,9115,,,,91150
,玉井商船,9127,,,,91270
,共栄タンカー,9130,,,,91300
,ビーイングＨＬＤＧ,9145,,,,91450
,シーユーシー,9158,,,,91580
,Ｗ　ＴＯＫＹＯ,9159,,,,91590
,ノバレーゼ,9160,,,,91600
,ブリーチ,9162,,,,91620
,ナレルグループ,9163,,,,91630
,トライト,9164,,,,91640
,クオルテック,9165,,,,91650
,ＧＥＮＤＡ,9166,,,,91660
,ライズ・コンサルティング・グル,9168,,,,91680
,栗林商船,9171,,,,91710
,東海汽船,9173,,,,91730
,東京汽船,9193,,,,91930
,スカイマーク,9204,,,,92040
,スターフライヤー,9206,,,,92060
,エフ・コード,9211,,,,92110
,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓ,9212,,,,92120
,セイファート,9213,,,,92130
,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎ,9214,,,,92140
,ＣａＳｙ,9215,,,,92150
,メンタルヘルステクノロジーズ,9218,,,,92180
,ギックス,9219,,,,92190
,エフビー介護サービス,9220,,,,92200
,フルハシＥＰＯ,9221,,,,92210
,ＡＳＮＯＶＡ,9223,,,,92230
,ブリッジコンサルティンググルー,9225,,,,92250
,マイクロ波化学,9227,,,,92270
,アジア航測,9233,,,,92330
,売れるネット広告社グループ,9235,,,,92350
,ジャパンＭ＆Ａソリューション,9236,,,,92360
,笑美面,9237,,,,92370
,バリュークリエーション,9238,,,,92380
,デリバリーコンサルティング,9240,,,,92400
,フューチャーリンクネットワーク,9241,,,,92410
,メディア総研,9242,,,,92420
,デジタリフト,9244,,,,92440
,リベロ,9245,,,,92450
,プロジェクトＨＬＤＧ,9246,,,,92460
,日本エコシステム,9249,,,,92490
,ＧＲＣＳ,9250,,,,92500
,ＡＢ＆Ｃｏｍｐａｎｙ,9251,,,,92510
,ラストワンマイル,9252,,,,92520
,スローガン,9253,,,,92530
,ラバブルマーケティンググループ,9254,,,,92540
,サクシード,9256,,,,92560
,ＹＣＰＨＬＤＧ（グローバル）,9257,,,,92570
,ＣＳ−Ｃ,9258,,,,92580
,タカヨシＨＬＤＧ,9259,,,,92590
,ポエック,9264,,,,92640
,ヤマシタヘルスケアＨＬＤＧ,9265,,,,92650
,オプティマスグループ,9268,,,,92680
,バリュエンスＨＬＤＧ,9270,,,,92700
,和心,9271,,,,92710
,ブティックス,9272,,,,92720
,ナルミヤ・インターナショナル,9275,,,,92750
,東陽倉庫,9306,,,,93060
,杉村倉庫,9307,,,,93070
,アサガミ,9311,,,,93110
,ケイヒン,9312,,,,93120
,丸八倉庫,9313,,,,93130
,川西倉庫,9322,,,,93220
,ファイズＨＬＤＧ,9325,,,,93250
,関通,9326,,,,93260
,イー・ロジット,9327,,,,93270
,揚羽,9330,,,,93300
,キャスター,9331,,,,93310
,トリドリ,9337,,,,93370
,ＩＮＦＯＲＩＣＨ,9338,,,,93380
,コーチ・エィ,9339,,,,93390
,アソインターナショナル,9340,,,,93400
,スマサポ,9342,,,,93420
,アイビス,9343,,,,93430
,アクシスコンサルティング,9344,,,,93440
,ビズメイツ,9345,,,,93450
,ココルポート,9346,,,,93460
,ｉｓｐａｃｅ,9348,,,,93480
,東洋埠頭,9351,,,,93510
,櫻島埠頭,9353,,,,93530
,リンコーコーポレーション,9355,,,,93550
,鈴与シンワート,9360,,,,93600
,伏木海陸運送,9361,,,,93610
,兵機海運,9362,,,,93620
,大運,9363,,,,93630
,トレーディア,9365,,,,93650
,サンリツ,9366,,,,93660
,大東港運,9367,,,,93670
,キムラユニティー,9368,,,,93680
,ユーラシア旅行社,9376,,,,93760
,エージーピー,9377,,,,93770
,東海運,9380,,,,93800
,ショーエイコーポレーション,9385,,,,93850
,ビートＨＬＤＧ,9399,,,,93990
,ＢＳＮメディアＨＬＤＧ,9408,,,,94080
,日本ＢＳ放送,9414,,,,94140
,スマートバリュー,9417,,,,94170
,ワイヤレスゲート,9419,,,,94190
,エヌジェイＨＬＤＧ,9421,,,,94210
,フォーバル・リアルストレート,9423,,,,94230
,ＲｅＹｕｕ　Ｊａｐａｎ,9425,,,,94250
,クロップス,9428,,,,94280
,沖縄セルラー電話,9436,,,,94360
,エム・エイチ・グループ,9439,,,,94390
,ベルパーク,9441,,,,94410
,トーシンＨＬＤＧ,9444,,,,94440
,フォーバルテレコム,9445,,,,94450
,サカイＨＬＤＧ,9446,,,,94460
,アイドママーケティングコミュニ,9466,,,,94660
,アルファポリス,9467,,,,94670
,昭文社ＨＬＤＧ,9475,,,,94750
,中央経済社ＨＬＤＧ,9476,,,,94760
,ＳＥ　Ｈ＆インキュベーションズ,9478,,,,94780
,北陸瓦斯,9537,,,,95370
,京葉瓦斯,9539,,,,95390
,マイクロアド,9553,,,,95530
,ＡＶｉＣ,9554,,,,95540
,ＩＮＴＬＯＯＰ,9556,,,,95560
,エアークローゼット,9557,,,,95570
,ジャパニアス,9558,,,,95580
,プログリット,9560,,,,95600
,グラッドキューブ,9561,,,,95610
,ビジネスコーチ,9562,,,,95620
,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇ,9563,,,,95630
,ＦＣＥ,9564,,,,95640
,ＧＬＯＥ,9565,,,,95650
,ウィルソン・ラーニング　ワール,9610,,,,96100
,セレスポ,9625,,,,96250
,東京テアトル,9633,,,,96330
,武蔵野興業,9635,,,,96350
,きんえい,9636,,,,96360
,三協フロンテア,9639,,,,96390
,セゾンテクノロジー,9640,,,,96400
,協和コンサルタンツ,9647,,,,96470
,日本プロセス,9651,,,,96510
,グリーンランドリゾート,9656,,,,96560
,歌舞伎座,9661,,,,96610
,ホウライ,9679,,,,96790
,ＫＹＣＯＭ　ＨＬＤＧ,9685,,,,96850
,東洋テック,9686,,,,96860
,ＫＳＫ,9687,,,,96870
,両毛システムズ,9691,,,,96910
,ウィザス,9696,,,,96960
,クレオ,9698,,,,96980
,東京會舘,9701,,,,97010
,アゴーラ　ホスピタリティー,9704,,,,97040
,帝国ホテル,9708,,,,97080
,ＮＣＳ＆Ａ,9709,,,,97090
,ロイヤルホテル,9713,,,,97130
,ホテル、ニューグランド,9720,,,,97200
,京都ホテル,9723,,,,97230
,白洋舎,9731,,,,97310
,ナガセ,9733,,,,97330
,アイエックス・ナレッジ,9753,,,,97530
,進学会ＨＬＤＧ,9760,,,,97600
,東海リース,9761,,,,97610
,丸紅建材リース,9763,,,,97630
,オオバ,9765,,,,97650
,日建工学,9767,,,,97670
,いであ,9768,,,,97680
,札幌臨床検査センター,9776,,,,97760
,昴,9778,,,,97780
,ハリマビステム,9780,,,,97800
,ディーエムエス,9782,,,,97820
,ビケンテクノ,9791,,,,97910
,旭情報サービス,9799,,,,97990
,テーオーＨＬＤＧ,9812,,,,98120
,ストライダーズ,9816,,,,98160
,大丸エナウィン,9818,,,,98180
,エムティジェネックス,9820,,,,98200
,マミーマート,9823,,,,98230
,リリカラ,9827,,,,98270
,ジュンテンドー,9835,,,,98350
,パーカーコーポレーション,9845,,,,98450
,天満屋ストア,9846,,,,98460
,共同紙販ＨＬＤＧ,9849,,,,98490
,銀座ルノアール,9853,,,,98530
,愛眼,9854,,,,98540
,英和,9857,,,,98570
,ソレキア,9867,,,,98670
,北恵,9872,,,,98720
,コックス,9876,,,,98760
,セキド,9878,,,,98780
,シャルレ,9885,,,,98850
,ＵＥＸ,9888,,,,98880
,マキヤ,9890,,,,98900
,コンセック,9895,,,,98950
,カンセキ,9903,,,,99030
,ベリテ,9904,,,,99040
,藤井産業,9906,,,,99060
,日本電計,9908,,,,99080
,日邦産業,9913,,,,99130
,植松商会,9914,,,,99140
,ワットマン,9927,,,,99270
,平和紙業,9929,,,,99290
,北沢産業,9930,,,,99300
,太洋物産,9941,,,,99410
,ハチバン,9950,,,,99500
,ヨンキュウ,9955,,,,99550
,アシードＨＬＤＧ,9959,,,,99590
,ショクブン,9969,,,,99690
,アルテック,9972,,,,99720
,ＫＯＺＯＨＬＤＧ,9973,,,,99730
,セキチュー,9976,,,,99760
,文教堂グループＨＬＤＧ,9978,,,,99780
,ＭＲＫ　ＨＬＤＧ,9980,,,,99800
,タキヒヨー,9982,,,,99820
,蔵王産業,9986,,,,99860
,ヤマザワ,9993,,,,99930
,やまや,9994,,,,99940
,サトー商会,9996,,,,99960
